fold	rumi	expected	predicted	source
8	heliosentrik	هيليوسينتريک	هليوسنتريق	rules
8	alegro	اليݢرو	الݢرو	rules
8	akzam	اعظم	اکزم	rules
8	tahlik	تعليق	تهليق	rules
8	memperbentarkan	ممڤربينترکن	ممڤربنترکن	morph
8	kroisan	کرويسن	کروءيسن	rules
8	banian	بانيان	بنين	morph
8	kedai	کداي	کداعي	morph
8	dumbel	دومبيل	دومبل	rules
8	keberesan	کبيريسن	کبريسن	morph
8	capelus	چڤلوس	چاڤلوس	rules
8	solat	صلاة	سولت	rules
8	fatalistik	فاتاليستيک	فاتاليستيق	rules
8	berbentar	بربينتر	بربنتر	morph
8	menu	مينو	منو	rules
8	pleno	ڤلينو	ڤلنو	rules
8	pasilan	ڤسيلن	ڤاسيلن	rules
8	sarkastik	سرکستيک	سرکستيق	rules
8	hidrometeorologi	هيدروميتيورولوݢي	هيدرومتيورولوݢي	rules
8	penindakbalasan	ڤنيندقبالسن	ڤنيندکبالاسن	rules
8	ditepukan	دتڤوکن	دتڤوقن	morph
8	syuruk	شروق	شوروق	rules
8	pengionan	ڤڠييونن	ڤڠاييونن	morph
8	klinometer	کلينوميتر	کلينومتر	rules
8	defensif	ديفينسيف	دفنسيف	rules
8	mem	ميم	مم	rules
8	mengatip	مڠاتيڤ	مڠتيڤ	morph
8	mengerawan	مڠراون	منݢراون	morph
8	mudirah	مديره	موديره	rules
8	menseminarkan	منسيمينرکن	منسمينرکن	morph
8	pengamanat	ڤڠامانت	ڤڠمانت	morph
8	xerosis	زيروسيس	کسروسيس	rules
8	empelas	امڤلس	ايمڤلس	rules
8	bedia	بديا	بدي	morph
8	al-dar	الضار	الدار	mixed
8	perdana	ڤردان	ڤردانا	morph
8	merahnya	ميرهڽ	مرهڽ	morph
8	kuret	کوريت	کورت	rules
8	pengeposan	ڤڠڤوسن	ڤڠيڤوسن	morph
8	tergelah-gelak	ترݢلق-ݢلق	ترݢله-ݢلق	mixed
8	menunggui	منوڠݢوءي	منوڠݢوي	morph
8	lengsan	ليڠسن	لڠسن	rules
8	israk	اسراء	ايسرق	rules
8	desimeter	ديسيميتر	دسيمتر	rules
8	agroekonomi	اݢروايکونومي	اݢروکونومي	rules
8	mengabui	مڠابوءي	مڠابوي	morph
8	memfardukan	ممڤرضوکن	ممفرضاکن	morph
8	kebesaran	کبسرن	کبسارن	morph
8	tonjeng	تونجيڠ	تونجڠ	rules
8	kuetiau	کوءيتياو	کويتياو	rules
8	genjang	ݢينجڠ	ݢنجڠ	rules
8	jek	جيک	جق	rules
8	terangkup-angkup	تراڠکوڤ-اڠکوڤ	ترڠکوڤ-اڠکوڤ	mixed
8	bedan	بدن	بدان	morph
8	etilena	ايتيلينا	ايتيلنا	rules
8	kemalaikatan	کملائکتن	کملائکةن	morph
8	memberikannya	ممڤريکنڽ	ممبريکنڽ	morph
8	lenyet	ليڽيت	لڽت	rules
8	kebesarannya	کبسرنڽ	کبسارنڽ	morph
8	gorek	ݢوريق	ݢورق	rules
8	mengalikan	مڠاليکن	مڠليقن	morph
8	hina-lata	هينا-لاتا	هينا-لات	mixed
8	feminisme	فيمينيسمى	فمينيسمى	rules
8	yarmulka	يرمولکا	يرمولک	rules
8	simetri	سيميتري	سيمتري	rules
8	klasik	کلاسيک	کلاسيق	rules
9	presto	ڤريستو	ڤرستو	rules
9	walak	ولق	والق	rules
9	relevansi	ريلۏنسي	رلۏنسي	rules
9	dedikasi	ديديکاسي	دديکاسي	rules
9	nadim	نديم	ناديم	rules
9	mengajan	مڠاجن	مڠجن	morph
9	etnosentris	ايتنوسينتريس	ايتنوسنتريس	rules
9	elefantiasis	ايليفنتياسيس	ايلفنتياسيس	rules
9	pospaket	ڤوسڤاکيت	ڤوسڤاکت	rules
9	dipakukan	دڤاکوکن	دڤاکوقن	morph
9	ledang	ليدڠ	لدڠ	rules
9	membencanai	ممبنچاناءي	ممبنچاني	morph
9	alegreto	اليݢريتو	الݢرتو	rules
9	diperdayakan	دڤرداياکن	دڤردايکن	morph
9	bab	باب	بب	rules
9	kuya	کويا	کوي	rules
9	mengaibkan	مڠاءيبکن	مڠعاءيبکن	morph
9	istibrak	استبرق	ايستيبرق	rules
9	sahib	صاهب	ساهيب	rules
9	parewa	ڤاريوا	ڤاروا	rules
9	mengenjut-enjut	مڠنجوت-انجوت	مڠنجوت-اينجوت	mixed
9	sep	سيڤ	سڤ	rules
9	takadum	تقدوم	تاکادوم	rules
9	kerabat	قرابة	کرابت	morph
9	wafak	وفق	وافق	rules
9	altimeter	التيميتر	التيمتر	rules
9	maksila	مکسيلا	مقسيلا	rules
9	akueus	اکووييوس	اکويوس	rules
9	busjaket	بوسجاکيت	بوسجاکت	rules
9	maula	مولى	ماءولا	rules
9	homoseksualiti	هوموسيکسواليتي	هوموسقسواليتي	rules
9	insektarium	اينسيکتاريوم	اينسکتاريوم	rules
9	mambahanakan	ممبهاناکن	ممباهاناکن	rules
9	fengsyui	فڠسوي	فڠشوءي	rules
9	belam	بلم	بلام	morph
9	pasirah	ڤسيره	ڤاسيره	rules
9	sepenuh-penuhnya	سڤنوه٢ڽ	سڤنوه-ڤنوهڽ	mixed
9	premis	ڤريميس	ڤرميس	rules
9	maheswara	مهيسوارا	ماهسوارا	rules
9	nektai	نيکتاي	نکتاي	rules
9	halibut	هليبوت	هاليبوت	rules
9	personagrata	ڤرسوناݢراتا	ڤرسونݢراتا	rules
9	torpedo	تورڤيدو	تورڤدو	rules
9	akui	اکوي	اکوءي	rules
9	harakat	حرکة	هاراکت	rules
9	muksir	مقصر	موقسير	rules
9	identifikasi	ايدينتيفيکاسي	ايدنتيفيکاسي	rules
9	menggurui	مڠݢوروءي	مڠݢوروري	morph
9	pijama	ڤيجام	ڤيجاما	rules
9	monel	مونيل	مونل	rules
9	dibereskan	دبيريسکن	دبريسکن	morph
9	e-mel	ي-ميل	اي-ميل	mixed
9	uswah	اسوة	اوسوه	rules
9	berisi	برايسي	بريسي	morph
9	adjuster	ايدجوستر	ادجوستر	rules
9	khatam	ختم	خاتم	rules
9	jejer	جيجير	ججر	rules
9	menescayakan	منسچاياکن	منسچايکن	morph
9	hadrat	حضرة	هدرت	rules
9	memanggang	ممڠݢڠ	مم-ڠݢ-ڠ	morph
9	jamik	جامع	جاميق	rules
9	pertabalan	ڤرطبلن	ڤرتابلن	morph
9	mukminin	موءمنين	موکمينين	rules
9	diagak-agak	داݢق٢	داݢق-اݢق	mixed
9	gerunggung	ݢ-روڠ-ݢوڠ	ݢروڠݢوڠ	rules
9	enjut	انجوت	اينجوت	rules
9	delman	ديلمن	دلمن	rules
9	dandang	داندڠ	دندڠ	rules
9	kekel	کيکيل	ککل	rules
9	selancang	سلنچڠ	سلانچڠ	morph
9	senggama	سڠݢام	سڠݢاما	rules
9	ulas-ulasnya	اولس-اولسڽ	اولس٢ڽ	mixed
9	setela	ستيلا	ستلا	morph
9	selapan	سلاڤن	سلڤن	morph
9	arkan	ارکان	ارکن	rules
9	mengiblatkan	مڠيبلتکن	مڠقبلةکن	morph
9	kubat	قبة	کوبت	rules
9	gelen	ݢيلين	ݢلن	rules
9	kaos	کاءوس	کاوس	rules
9	bausastera	باوسسترا	باءوسسترا	rules
9	iktibar	اعتبار	ايکتيبر	rules
9	relaksasi	ريلکساسي	رلقساسي	rules
9	beria-ia	برايا-ايا	بريا-اي	mixed
9	hana	هان	هانا	rules
10	kodek	کوديق	کودق	rules
10	anasir	عناصير	اناسير	rules
10	melankolis	ميلنکوليس	ملنکوليس	rules
10	juruubat	جورواوبت	جوروءوبت	rules
10	sewal	سيوال	سول	rules
10	perlahan	ڤرلاهن	ڤرلهن	morph
10	kekerasannya	ککرسنڽ	ککراسنڽ	morph
10	distrik	ديستريک	ديستريق	rules
10	eret	ايريت	ايرت	rules
10	nabatah	نباته	ناباته	rules
10	tesaurus	تيساوروس	تساءوروس	rules
10	menganyam	مڠاڽم	مڠڽم	morph
10	nazir	ناظير	نازير	rules
10	petisyen	ڤيتيشن	ڤتيشن	rules
10	lam	لام	لم	rules
10	verifikasi	ۏيريفيکاسي	ۏريفيکاسي	rules
10	gaya-gayanya	ݢاي-ݢايڽ	ݢاي٢ڽ	mixed
10	tekelek	تيکليک	تکلق	rules
10	mengamat-amati	مڠامت-امتي	منݢامت-امتي	mixed
10	laguh-lagah	لاݢوه-اݢه	لاݢوه-لاݢه	mixed
10	einsteinium	اينستينيوم	ايئينستيئينيوم	rules
10	mes	ميس	مس	rules
10	kemetot	کميتوت	کمتوت	rules
10	berencik	برانچيق	برنچيق	morph
10	dibuang-buang	دبواڠ٢	دبواڠ-بواڠ	mixed
10	sultanat	سلطانة	سولتانت	rules
10	istirahat	استراهة	ايستيراهت	rules
10	ben	بين	بن	rules
10	diperingankan	دڤريڠنکن	ديڤريڠنکن	rules
10	ekuestrian	ايکوءيستريان	ايکويستريان	rules
10	ekstremis	ايکستريميس	ايکسترميس	rules
10	seser	سيسير	سسر	rules
10	mudghah	مضغة	مودغه	rules
10	majamuju	مجاموجو	ماجاموجو	rules
10	nafkah	نفقه	نفکه	rules
10	parasintesis	ڤاراسينتيسيس	ڤاراسينتسيس	rules
10	khalil	خليل	خاليل	rules
10	kereket	کريکيت	کرکت	rules
10	diangkat-angkat	داڠکت٢	داڠکت-اڠکت	mixed
10	kekerasan	ککرسن	ککراسن	morph
10	engas	اڠس	ايڠس	rules
10	alergen	اليرݢن	الرݢن	rules
10	enjelai	انجلاي	اينجلاي	rules
10	swapraja	سواڤراج	سوڤراجا	rules
10	ibnu	ابن	ايبنو	rules
10	membran	ميمبرن	ممبرن	rules
10	andesit	انديسيت	اندسيت	rules
10	prakarya	ڤراکاريا	ڤراکري	rules
10	cauvinisme	چاوۏينيسمى	چاءوۏينيسمى	rules
10	leptospirosis	ليڤتوسڤيروسيس	لڤتوسڤيروسيس	rules
10	esoterik	ايسوتيريک	ايسوتريق	rules
10	sentimental	سينتيمينتل	سنتيمنتل	rules
10	pengarah	ڤڠاره	ڤنݢاره	morph
10	memepet	مميڤيت	ممڤيت	morph
10	rabbani	رباني	ربباني	rules
10	anemia	انيميا	انميا	rules
10	enggokan	ايڠݢوقن	ايڠݢوکن	rules
10	dekor	ديکور	دکور	rules
10	klarinet	کلارينيت	کلارينت	rules
10	kafein	کافيين	کافيئين	rules
10	berek	بيريک	بريق	morph
10	rangka	راڠک	رڠک	rules
10	didiamkan	ددعامکن	دديامکن	morph
10	perikemanusiaan	ڤريکماءنسياءن	ڤريکمانوسياءن	rules
10	zahir	ظاهير	زاهير	rules
10	adres	ادريس	ادرس	rules
10	rabbulalamin	ربالعالمين	رببولالامين	rules
10	teoretikus	تيوريتيکوس	تيورتيکوس	rules
10	qari	قاريء	قاري	rules
10	mengawang	مڠاوڠ	منݢاوڠ	morph
10	khalwat	خلوة	خلوت	rules
10	neng	نيڠ	نڠ	rules
10	bengkah	بڠکه	بيڠکه	morph
10	burdah	بردة	بورده	rules
10	panggungan	ڤڠݢوڠن	ڤ-ڠ-ݢوڠن	morph
