rumi,predicted,true
seganding,سݢنديڠ,سݢانديڠ
menggandul,مڠݢاندول,مڠݢندول
bergandung,برݢاندوڠ,برݢندوڠ
menggandung,مڠݢاندوڠ,مڠݢندوڠ
ganggang,ݢڠݢڠ,ݢاڠݢڠ
ganggangan,ݢڠݢڠن,ݢاڠݢڠن
berganggang,برݢڠݢڠ,برݢاڠݢڠ
mengganggang,مڠݢڠݢڠ,مڠݢاڠݢڠ
mengganggangkan,مڠݢڠݢڠکن,مڠݢاڠݢڠکن
terganggang,ترݢاڠݢڠ,ترݢاڠکڠ
ganjak,ݢنجق,ݢانجق
diganjak,دݢنجق,دݢانجق
diganjakkan,دݢنجقکن,دݢانجقکن
ganjur,ݢنجور,ݢانجور
berganjur,برݢنجور,برݢانجور
berganjur-ganjur,برݢنجور-ݢانجور,برݢانجور-ݢانجور
mengganjur,مڠݢنجور,مڠݢانجور
mengganjuri,مڠݢنجوري,مڠݢانجوري
bergantang-gantang,برݢنتاڠ-ݢنتڠ,برݢنتاڠ-ݢنتاڠ
menggantang,مڠݢانتڠ,مڠݢنتاڠ
gantar,ݢنتر,ݢانتر
ganteng,ݢنتيڠ,ݢنتڠ
ganting,ݢنتيڠ,ݢانتيڠ
garan,ݢرن,ݢارن
garedeng,ݢاريديڠ,ݢريديڠ
mengaruk,مڠاروق,مڠݢاروق
gastroenterologi,ݢستروءينتيرولوݢي,ݢستروءينترولوݢي
mempergauli,ممڤرݢاولي,ممڤرݢاءولي
gay,ݢيي,ݢيئي
gear,ݢير,ݢيار
gebang,ݢبڠ,ݢيبڠ
geblek,ݢبليق,ݢبلق
gebukan,ݢبوکن,ݢبوقن
mengedik-gedikkan,مڠديق-ݢديقکن,مڠݢديق-ݢديقکن
gegaman,ݢݢمن,ݢݢامن
gegasing,ݢݢاسيڠ,ݢݢسيڠ
gegendang,ݢݢيندڠ,ݢݢندڠ
gegep,ݢݢڤ,ݢيݢيڤ
geisya,ݢييشا,ݢيئيشا
kegelabahan,کݢلابهن,کݢلبهن
gelagapan,ݢلاݢڤن,ݢلاݢاڤن
tergelah-gelak,ترݢله-ݢلق,ترݢلق-ݢلق
menggelang,مڠݢلڠ,مڠ-ݢلڠ
gelang,ݢلڠ,ݢيلڠ
gelatin,ݢلاتين,ݢيلاتين
tergelebar,ترݢليبر,ترݢلبر
gelebar,ݢلبر,ݢليبر
gelebat,ݢلبت,ݢليبت
geleca,ݢليچا,ݢلچا
gelecak,ݢليچق,ݢلچق
geledang,ݢليدڠ,ݢلدڠ
menggeledang,مڠݢليدڠ,مڠݢلدڠ
menggelentar,مڠݢلينتر,مڠݢلنتر
geliang-geliat,ݢلياڠ٢,ݢلياڠ-ݢليات
gelinya,ݢليڽ,ݢليڽا
gelosok-gelusang,ݢلوسوق٢,ݢلوسوق-ݢلوسڠ
menggemai,مڠݢماي,مڠݢماءي
gemang,ݢمڠ,ݢم-ڠ
gemang,ݢمڠ,ݢيمڠ
geminte,ݢمينتي,ݢمينتى
gendak,ݢندق,ݢيندق
gendang,ݢيندڠ,ݢندڠ
bergendang,برݢيندڠ,برݢندڠ
gendeh,ݢينديه,ݢنده
gendeng,ݢينديڠ,ݢندڠ
gendola,ݢيندولا,ݢندولا
gendon,ݢيندون,ݢندون
menggeneralisasikan,مڠݢنراليساسيکن,مڠݢينراليساسيکن
generik,ݢنريق,ݢينريک
genggang,ݢيڠݢڠ,ݢڠݢڠ
tergenggang,ترݢيڠݢڠ,ترݢڠݢڠ
gengsterisme,ݢڠستريسمى,ݢيڠستريسمى
genis,ݢينيس,ݢنيس
genjak,ݢنجق,ݢينجق
gentian,ݢنتين,ݢنتيان
genus,ݢنوس,ݢينوس
geraham,ݢرهم,ݢراهم
geraman,ݢرمن,ݢرامن
geranggang,ݢرڠݢڠ,ݢراڠ-ݢڠ
geranium,ݢرانيوم,ݢيرانيوم
gerantang,ݢرنتڠ,ݢرانتڠ
menggerapak,مڠݢراڤق,مڠݢرافق
geretak,ݢرتق,ݢريتق
menggeretang,مڠݢرتڠ,مڠݢريتڠ
geretuk,ݢرتوق,ݢروتوق
menggergasi,مڠݢرݢسي,مڠݢرݢاسي
geriatrik,ݢرياتريک,ݢيرياتريک
gerigi,ݢريݢي,ݢري-ݢ--ي
geronyot,ݢروڽوت,ݢرڽوت
geropes,ݢروڤيس,ݢروڤس
menggeropes,مڠݢروڤيس,مڠݢروڤس
gertakan,ݢرتاکن,ݢرتقن
gerung-gerang,ݢروڠ٢,ݢروڠ-ݢرڠ
gerunggung,ݢروڠݢوڠ,ݢ-روڠ-ݢوڠ
digesa-gesa,دݢسا٢,دݢسا-ݢسا
penggetang,ڤڠݢتڠ,ڤ-ڠ-ݢتڠ
getek,ݢتيق,ݢيتيق
tergewang-gewang,ترݢواڠ-ݢيواڠ,ترݢيواڠ-ݢيواڠ
ghaflah,غفله,غفلة
ghain,غاءين,غين
ghairah,غيره,غاءيره
ghairat,غيرة,غاءيرة
ghalat,غلة,غلط
mengghalibkan,مڠغليبکن,مڠغاليبکن
ghana,غنا,غناء
ghanimah,غنيمه,غنيمة
gharizah,غريزه,غريزة
ghazal,غزل,غزال
ghulup,غلوڤ,غلف
digaitkan,دݢاءيکن,دݢياتکن
gigahertz,ݢيݢاهرز,ݢيݢاهرتذ
menggilai,مڠݢيلاي,مڠݢيلاءي
gilapan,ݢيلڤن,ݢيلڤکن
gimik,ݢيميق,ݢيميک
ginang-ginang,ݢينڠ-ݢينڠ,ݢينڠ٢
menggingging,مڠݢيڠݢيڠ,مڠ-ݢيڠ-ݢيڠ
gitaris,ݢيتاريس,ݢيتريس
glosem,ݢلوسم,ݢلوسيم
gnu,ݢو,ݢنو
goiter,ݢوءيتر,ݢويتر
go-kart,ݢو٢,ݢو-کرت
mengegolkan,مڠيݢولکن,مڠݢولکن
golang-golek,ݢولڠ٢,ݢولڠ-ݢوليق
kegondokan,کݢوندوقن,ݢوندوقن
mengegongkan,مڠيݢوڠکن,مڠݢوڠکن
bergopoh-gopoh,برݢوڤوه٢,برݢوڤوه-ݢوڤوه
gopoh-mamang,ݢوڤوه-مامڠ,ݢوڤوه-ماماڠ
tergopah-gapah,ترݢوڤه-ݢاڤه,ترݢوڤوه-ݢاڤه
gorden,ݢوردين,ݢوردن
gotong-royong,ݢوتوڠ٢,ݢوتوڠ-رويوڠ
gout,ݢوءت,ݢاءوت
digoyang-goyangkan,دݢويڠ٢,دݢويڠ-ݢويڠکن
gratuiti,ݢراتوءيتي,ݢراتويتي
greget,ݢريݢيت,ݢرݢت
guilder,ݢوءيلير,ݢوءيلدر
menggulai,مڠݢولاي,مڠݢولاءي
gulet,ݢوليت,ݢولت
berguling-guling,برݢوليڠ٢,برݢوليڠ-ݢوليڠ
guling-gantang,ݢوليڠ-ݢانتڠ,ݢوليڠ-ݢنتڠ
bergulung-gulung,برݢولوڠ٢,برݢولوڠ-ݢولوڠ
mengguna-gunai,مڠݢونا-ݢوناي,مڠݢونا-ݢوناءي
menggunai,مڠݢوناي,مڠݢوناءي
gunggung,ݢوڠݢوڠ,ݢوڠ-ݢ-وڠ
guntang-guntang,ݢونتڠ-ݢونتڠ,ݢونتڠ٢
gungung-gunungan,ݢوڠوڠ-ݢونوڠن,ݢونوڠ-ݢونوڠن
guru,ݢورو,ݢورور
haah,حية,هاعه
hab,حب,هب
habeascorpus,هابياسچورڤوس,هابيئسکورڤس
habelur,هبلور,هابلور
terhad,ترهد,ترحد
hadam,حضم,هضم
dihadam,دحضم,دهضم
keterhadaman,کترهدمن,کترهضمن
hadanah,هدانه,هضانه
hadarah,حداره,هضاره
berhadas,برهدث,برحدث
hadhari,حداري,حضاري
hadiah,هدية,هديه
hadirat,حديرة,حاضيرات
berhadis,برهاديس,برحديث
hadrah,حدره,حضره
hadrat,حدرت,حضرة
menghafal,مڠحفل,مڠحافل
penghafal,ڤڠحفل,ڤڠحافل
penghafalan,ڤڠحفلن,ڤڠحافلن
hafbek,هفبيق,هفبيک
haha,هها,هاها
menghairani,مڠهيراني,مڠحيراني
haiwanat,حيوانت,حيوانة
hajam,حجم,حجام
hajarulaswad,حجرالسواد,حجرالاسود
haji,حاجي,حج
haji,حاجي,حاج
hajib,حاجب,حاجيب
mengehaki,مڠيحقي,مڠحقي
mengehakkan,مڠيحقکن,مڠحقکن
hakaik,حکاق,هقائق
hakir,حاکير,حقير
hakis,حاکيس,هاکيس
dihakis,دحاکيس,دهاکيس
hakisan,حقيسن,هاکيسن
menghakiskan,مڠحاکيسکن,مڠهاکيسکن
penghakisan,ڤڠحاکيسن,ڤڠهاکيسن
halai-balai,هالاي٢,هالاي-بالاي
halaju,هلاجو,هالاجو
penghalalan,ڤڠهلالن,ڤڠحلالن
halal-bilhalal,حلالبلالال,حلالبالحلال
menghalaukan,مڠهلاوکن,مڠهالاوکن
haleja,هاليجا,هليجا
halia,هاليا,هليا
halimbubu,هليمبوبو,هاليمبوبو
halipan,هاليڤن,هليڤن
halkah,حلقه,حلقة
halkum,حلکوم,حلقوم
halo,هالو,هلو
halogen,هالوݢن,هالوݢين
berhalus,برهلوس,برهالوس
berhalusinasi,برهلوسيناسي,برهالوسيناسي
halwa,حلوى,حلوا
hamam,حمم,حمام
hambus,همبوس,هامبوس
berhambus,برهمبوس,برهامبوس
menghambus,مڠهمبوس,مڠهامبوس
menghamili,مڠهاميلي,مڠحاميلي
hampas,همڤس,هامڤس
berhampas,برهمڤس,برهامڤس
hamud,حمود,هامود
terhancing,ترهانچيڠ,ترهنچيڠ
handam-karam,هندم٢,هندم-کارم
handasah,هندسه,هندسة
berhantukan,برهنتوکن,برهنتوقن
terharak-harak,ترهرق-هارق,ترهارق-هارق
harakat,هرکة,حرکة
haram,حرم,حرام
mengharamkan,مڠهرامکن,مڠحرامکن
pengharaman,ڤڠهرامن,ڤڠحرامن
harap-harapan,هارڤ٢,هارڤ-هارڤن
hararat,هرارت,حرارة
haras,هارس,حرس
harawan,هراون,هاراون
harib,حريب,هاريب
haris,هاريس,حاريس
harkat,هرکت,هرکة
harmatan,هرمتن,هرماتن
harpsikod,هرڤسيکود,هرپسيکود
haru-biru,هارو٢,هارو-بيرو
haruan,هاروان,هروان
has,حس,هس
hasienda,هاسيندا,هاسييندا
berhasilah,برحاصيله,برحاصيل
hasil-mahsul,حاصيل٢,حاصيل-محصول
terhasrat,ترهسرت,ترحسرت
hasyisy,حاشيش,حشيش
hasyur,حاشور,هاشور
hatta,هتا,حتى
haula,حولا,حول
haur,هور,حور
hauri,هوري,حوري
haus,هوس,هاءوس
hausalah,حوصله,حوصلة
hauskot,هوسکوت,هاوسکوت
hawa,حواء,هاوا
hawar,حور,هاور
hawar-hawar,حور٢,هاور٢
hawiah,حوية,هاوية
menghayati,مڠهياتي,مڠحياتي
penghayat,ڤڠحيت,ڤڠحيات
penghayatan,ڤڠهيتن,ڤڠحياتن
heban,هيبن,هيبان
heifer,هيفر,هيئيفر
heksana,هيکسان,هکسان
berhelah,برهيله,برحيله
menghelah,مڠهيله,مڠحيله
menghelahkan,مڠهيلهکن,مڠحيلهکن
heliks,هليکس,هيليکس
hemlok,هيملوق,هيمولوک
hendal,هندل,هيندل
menghenggung,مڠهڠݢوڠ,مڠه-ڠ-ݢوڠ
heptatlon,هيڤتتلون,هيڤتاتلون
hering,هريڠ,هيريڠ
hermafrodit,هرمافروديت,هيرمافروديت
heroin,هروءين,هيروءين
herot-berot,هيروت٢,هيروت-بيروت
hibbah,هبة,هيبه
hidrat,هدرة,هيدرت
berhierarki,برهيرري,برهيررکي
hifa,حفا,هيفا
hi-fi,هي٢,هاي-فاي
hijrah,هجره,هجرة
hilang-pintang,هيلڠ٢,هيلڠ-ڤينتڠ
himar,حيمر,حمار
himen,هيمين,هيمن
hina-lata,هينا-لات,هينا-لاتا
sehinggakan,سهيڠݢقن,سهيڠݢاکن
hiperaktif,هيڤرکتيف,هيڤراکتيف
kehiperaktifan,کهيڤرکتيفن,کهيڤراکتيفن
hipokrit,هيڤوقريت,هيڤوکريت
hiragana,هيراݢان,هيراݢانا
hiru-biru,هيرو٢,هيرو-بيرو
histeria,هيستريا,هيستيريا
hitam-legam,هيتم٢,هيتم-لݢم
hiyayat,حيايت,حياية
holofrasa,هولوفراس,هولوفراسا
homogen,هوموݢن,هوموݢين
mengehon,مڠيهون,مڠهون
terhormat,ترحرمت,ترهرمت
hosieri,هوسيري,هوسيئري
hua,هوا,هو
hubah,هوبه,حبه
hububan,هوبوبن,هبوبن
hudhud,هودهد,هودهود
hudud,هودود,حدود
hujah,حجه,هوجه
hujjatulislam,حجةالسمالم,حجةااسلام
hukah,حکه,هوقه
hukama,حکام,حکماء
hukka,حوکک,حوککا
hukum-hakam,حکوم٢,حکوم-حکام
humektan,هوميقتن,هوميکتن
hut,هوت,حوت
hutang-piutang,هوتڠ٢,هوتڠ-ڤيوتڠ
ia,اي,ايا
beria-ia,بريا-اي,برايا-ايا
iaitu,اياءيتو,ياءيت
iau,اياو,ايياو
mengiau,مڠياو,مڠيياو
ibadah,عباده,عبادة
beribadah,برعباده,برعبادة
beribadat,برعبادت,برعبادة
diibaratkan,دايبارتکن,دعبارتکن
mengibaratkan,مڠيبرتکن,مڠعبارتکن
ibni,ابني,ابن
ibnu,ابنو,ابن
peribuan,ڤريبوان,ڤرايبوان
beridah,برايده,برعدة
idah,عدة,ايده
idam,ايدم,ايدام
idam-idaman,ايدم-ايدمن,ايدام-ايدامن
mengidam,مڠيدم,مڠيدام
mengidam-idami,مڠيدم-ايدامي,مڠيدام-ايدامي
pengidam,ڤڠيدم,ڤڠيدام
ifadah,افاده,افاضة
ifrit,افرت,عفريت
iftar,افتر,افطار
iftitah,افتته,افتتاح
igama,ايݢام,اݢام
terigau,تريݢاو,ترايݢاو
terigau-igau,تريݢاو-ايݢاو,ترايݢاو-ايݢاو
mengihtimalkan,مڠيهتيملکن,مڠيحتمالکن
ijab,اجاب,ايجاب
mengijmakkan,مڠيجمعکن,مڠيجماعکن
perikanan,ڤريکنن,ڤرايکنن
keterikatan,کتريکتن,کترايکتن
ikhfak,اخفاق,اخفاء
mengikhlaskan,مڠيخلاسکن,مڠيخلاصکن
ikhtisar,اختصر,اختصار
mengikhtisarkan,مڠيختيسرکن,مڠيختصارکن
mengikhtisaskan,مڠيختصاسکن,مڠيختصاصکن
ikrab,اقرب,اعرب
mengikrarkan,مڠيقراکن,مڠيقرارکن
iktibar,اقتبار,اعتبار
iktikaf,اعتقاف,اعتکاف
beriktikaf,براعتقاف,براعتکاف
iktisab,اقتساب,اکتساب
memperikut,ممڤريکوت,ممڤرايکوت
memperikutkan,ممڤريکوتکن,ممڤرايکوتکن
ilak,الق,ايلق
ilat,ايلت,علة
ilmiah,علمية,علميه
imaginatif,اماݢيناتيف,ايماݢيناتيف
imak,امق,ايمق
imalat,امالت,امالة
imamat,امامت,امامة
imarah,اماره,عماره
mengimarahkan,مڠيمارهکن,مڠعمارهکن
memperimbangkan,ممڤريمبڠکن,ممڤرايمبڠکن
terimbau,تريمباو,ترايمباو
mengimkan,مڠيمکن,مڠيمکان
imlak,املاق,املاء
mengimlakkan,مڠيملاقکن,مڠيملاءکن
imlek,املق,ايمليق
impak,ايمڤق,ايمڤک
imperatif,ايمڤراتيف,ايمڤيراتيف
imsak,امساق,امساک
imtihan,امتهن,امتحان
imunoterapi,ايمونوتراڤي,ايمونوتيراڤي
inabat,عنابة,اينابة
diperindah,دڤرينده,دڤراينده
pengindeksan,ڤڠينديقسن,ڤڠينديکسن
indemniti,ايندمنيتي,اينديمنيتي
indentur,ايندنتور,ايندينتور
inderaloka,ايدرالوک,ايندرالوک
keindividuan,کايديۏيدوان,کاينديۏيدوان
individual,ايديۏيدوال,اينديۏيدوال
keindividualan,کايديۏيدوالن,کاينديۏيدوالن
individualis,ايديۏيدواليس,ايديۏودواليس
individualisme,ايديۏيدواليسمى,اينديۏيدواليسمى
individualistik,ايديۏيدواليستيک,اينديۏيدواليستيک
individualiti,ايديۏيدواليتي,اينديۏيدواليتي
perinduk,ڤريندوق,ڤرايندوق
seperinduk,سڤريندوق,سڤرايندوق
perindustrian,ڤريندوسترين,ڤرايندوسترين
menginfakkan,مڠينفقکن,مڠينفاقکن
infraneritik,اينفرانريتيک,اينفرانيريتيک
infrastruktur,اينفراسروکتور,اينفراستروکتور
peringatan,ڤريڠتن,ڤرايڠتن
berkeinginan,برکيڠينن,برکايڠينن
memperingin,ممڤريڠين,ممڤرايڠين
memperingini,ممڤريڠيني,ممڤرايڠيني
ini,ايني,اين
injek,اينجيق,اينجيک
menginjek,مڠينجيق,مڠينجيک
injil,اينجيل,انجيل
injili,اينجيلي,انجيلي
injunksi,اينجوڠکي,اينجوڠسي
insan,اينسن,انسان
keinsanan,کاينسنن,کانسانن
insaniah,انسانيه,انسانية
insanulkamil,انصنالکمل,انسانالکامل
insidental,اينسيدنتل,اينسيدينتل
insinyur,اينسينور,اينسينيور
instrumental,اينسترومنتل,اينسترومينتل
insya-allah,انشاله,انشاءالله
intaran,اينترن,اينتارن
integral,اينتݢرل,اينتيݢرل
mengintelekkan,مڠينتليقکن,مڠينتليککن
mengintelektualan,مڠينتليکتوالن,مڠينتليکتوالکن
inteligensia,اينتليݢينسيا,اينتيليݢينسيا
interlingua,اينترليڠݢوا,اينترليڠ-ݢوا
intifadah,انتفاده,انتفاضه
intiha,اينتها,انتهاء
intikad,انتقد,انتقاد
intraotot,اينتراوتوت,اينتراءوتوت
introversi,اينتروۏرسي,اينترۏرسي
inulangan,اينولڠن,اينولاڠن
ipukan,ايڤوکن,ايڤوقن
iqlab,اقلب,اقلاب
irab,اراب,اعراب
iradah,اراده,ارادة
iradat,ارادت,ارادة
berirama,براراما,برايراما
mengiras-irasi,مڠيرس-ايراسي,مڠيرس-ايرسي
iseng,ايسيڠ,ايسڠ
iseng-iseng,ايسيڠ٢,ايسڠ٢
isian,ايسيان,ايسين
perisian,ڤريسين,ڤرايسين
terisi,تريسي,ترايسي
isim,ايسيم,اسم
islah,اصله,اصلاح
isoprena,ايسوڤرينا,ايسوڤرنا
diperisterikan,دڤريستريکن,دڤرايستريکن
memperisteri,ممڤريستري,ممڤرايستري
memperisterikan,ممڤريستريکن,ممڤرايستريکن
mengistikmalkan,مڠيستقمالکن,مڠيستعمالکن
peristilahan,ڤريستيلهن,ڤرايستيلهن
istima,استماء,استماع
teristimewa,تريستيميوا,ترايستيميوا
istinbat,استنبات,استنباط
beristiqamah,براستقامه,براستقامة
istirahat,استراهت,استراهة
beristirahat,براستراهت,براستراهة
istislam,استثلام,استسلام
isyak,اشق,عشاء
isyarat,عشارة,اشارت
terisyaratkan,ترايشارتکن,تراشارتکن
terisytihar,ترايشتيهار,ترايشتهار
mengitalikkan,مڠيتاليقکن,مڠيتاليککن
item,ايتم,اءيتم
ithar,اءاثر,ايثار
itlak,اطلق,اطلاق
itlakkan,اطلقکن,اطلاقکن
keitlakkan,کايتلقکن,کاطلاقکن
mengitlakkan,مڠيطلقکن,مڠيطلاقکن
pengitlakan,ڤڠيطلقن,ڤڠيطلاقن
itu,ايتو,ايت
iyal,ايل,عيال
izhar,اظهر,اظهار
perizinan,ڤريذينن,ڤرايذينن
jabar,جبر,جابر
berjaga-jaga,برجاݢ-جاݢ,برجاݢا-جاݢ
kejaga-jagaan,کجاݢ-جاݢاءن,کجاݢا-جاݢاءن
jah,جه,جاه
jahe,جهي,جاهي
menjahilan,منجاهيلن,منجاهيلکن
jahiliah,جاهيليه,جاهيلية
jalad,جلد,جلاد
jalad,جلد,جالد
jalak,جلق,جالق
jalalah,جلاله,جلالة
jalalat,جلالت,جلالة
berjalan-jalan,برجالن٢,برجالن-جالن
jalia,جاليا,جليا
jalibut,جاليبوت,جليبوت
jalis,جاليس,جليس
jama,جام,جاما
jamaah,جمعة,جماعه
berjamaah,برجمعه,برجماعه
penjamahan,ڤنجمهن,ڤنجامهن
jamba,جمبا,جامبا
jambak,جمبق,جامبق
berjambak-jambak,برجمبق-جمبق,برجامبق-جامبق
sejambak,سجمبق,سجامبق
jambelang,جمبلڠ,جمبيلڠ
jambian,جمبين,جمبيان
jame,جامي,جامى
jamiah,جمية,جامعة
jamik,جاميق,جامع
jampul,جمڤول,جامڤول
jamrah,جمره,جمرة
jana-bijana,جان٢,جان-بيجان
janabah,جنابه,جنابة
janggul,جڠݢول,جاڠݢول
berjangka,برجاڠک,برجڠک
menjangka,منجاڠک,منجڠک
menjangkakan,منجاڠکاکن,منجڠکاکن
penjangkaan,ڤنجاڠکاءن,ڤنجڠکاءن
terjangka,ترجاڠک,ترجڠک
menjangkah,منجاڠکه,منجڠکه
jangkang,جڠکڠ,جاڠکڠ
jangkar,جاڠکر,جڠکر
jangkauan,جڠکاوان,جاڠکاوان
menjangkih,منجاڠکيه,منجڠکيه
berjangkir,برجاڠکير,برجڠکير
dijangkiti,دجڠکيتي,دجاڠکيتي
jangkitan,جڠکيتن,جاڠکيتن
jangkung,جاڠکوڠ,جڠکوڠ
jannatunnaim,جنةالناعم,جنةالنعيم
kejantan-jantanan,کجنتن٢,کجنتن-جنتنن
berjejari,برججري,برججاري
jari-jemari,جاري٢,جاري-جماري
berjawapan,برجاواڤن,برجواڤن
berjawab-jawapan,برجواب-جاوڤن,برجواب-جواڤن
jawapan,جاواڤن,جواڤن
jazirah,جزيره,جزيرة
jebah,جبه,جيبه
berjebah,برجبه,برجيبه
jegang,جݢڠ,ج-ݢ-ڠ
jejamang,ججامڠ,ججمڠ
mengejek,مڠيجيق,مڠجيک
jeli,جلي,جي-ل-ي
jelur-jelir,جلور٢,جلور-جلير
jemekian,جمکين,جمکيان
jendela,جندلا,جنديلا
berjendela,برجندلا,برجنديلا
jeneral,جنرل,جينرل
jeneralisimo,جينراليسيمو,جنراليسيمو
jenggar,جيڠݢر,جڠݢر
menjengkang,منجيڠکڠ,منجڠکڠ
jengkang,جڠکڠ,جيڠکڠ
jengki,جڠکي,جيڠکي
berjerami,برجرمي,برجرامي
menjeremba,منجريمبا,منجرمبا
jerongkit,جروڠکيت,جورڠکيت
jerongkoh,جروڠکوه,جورڠکوه
jika,جيک,جک
terjingkat-jingkat,ترجيڠکت-جيڠکت,ترجيڠکيت-جيڠکت
jirian,جيرين,جيريان
jongkang-jongket,جوڠکڠ-جوڠکيت,جوڠکڠ-جڠکيت
dijoreng-joreng,دجوريڠ٢,دجوريڠ-جوريڠ
dijual,دجوال,دجوالن
menjuarai,منجواراءي,منجوارءي
berjujukan,برجوجوکن,برجوجوقن
menjulai,منجولاءي,منجولاي
berjulo-julo,برجولو٢,برجولو-جولو
jumaat,جوماعت,جمعة
berjumaat,برجوماعت,برجمعة
jumjumah,جمجمة,جمجمه
jumud,جومود,جمود
kejumudan,کجومودن,کجمودن
menjumudkan,منجومودکن,منجمودکن
junun,جونون,جنون
juruaudit,جورواوديت,جورواءوديت
juruazan,جورواذن,جورواذان
juruiklan,جورواقلن,جورواعلان
juruiring,جورويريڠ,جوروايريڠ
jurukhat,جوروخت,جوروخط
jurunikah,جورونيکه,جورونکاح
juruterapi,جوروتراڤي,جوروتيراڤي
juruulas,جوروالس,جورواولس
juvana,جوۏان,جوۏانا
juz,جز,جزء
berjuz-juz,برجوز-جوز,برجزء-جزء
sejuz,سجوز,سجزء
kabir,کابير,کبير
kabir-kabiran,کابير٢,کابير-کابيرن
berkabriolet,برکبريوليت,برکابريوليت
kabuki,کابوقي,کابوکي
kabul,کبول,قبول
kabur,کبور,کابور
berkaca-kaca,برکاچ-کاچ,برکاچا-کاچ
kacau-balau,کاچاو٢,کاچاو-بالاو
kacau-becah,کاچاو٢,کاچاو-بچه
kacau-birau,کاچاو-بيراو,کاچا-بيراو
kacek,کاچق,کاچيق
sekacukan,سکاچوکن,سکاچوقن
kadam,کادم,قدم
sekadar-kadaran,سقدر-کدرن,سقدر-قدرن
kadas,کدس,قدس
kadaver,کداۏر,کاداۏر
kademat,کادمت,کدمت
kadi,کادي,قاضي
kadli,کدلي,قدلي
kafeteria,کافيتريا,کافيتيريا
kafilah,کافيله,قافلة
berkahak,برکاهق,ب-رکاهق
kahar,کهر,کاهر
kahat,کاهت,قحط
kahwa,کهوا,قهوا
dikail,دکاءل,دکاءيل
kailan,کاءيلن,کايلن
kaisar,کيسر,قيصر
kekaisaran,ککايسرن,کقيصرن
dikaitkan,دکاءيکن,دکاءيتکن
keberkaitan,کبرکاءن,کبرکاءيتن
keterkaitan,کترکاءن,کترکاءيتن
memperkaitkan,ممڤرکاءيکن,ممڤرکاءيتکن
perkaitan,ڤرکاءين,ڤرکاءيتن
kaizen,کايزين,کايزن
menkaji-kaji,منکاجي-کاجي,مڠکاجي-کاجي
kakanda,کاکندا,ککندا
berkal-kal,برکل٢,برکل-کل
kalak,کلاق,کالق
kalakian,کلاکين,کلاکيان
kalam,کلم,کلام
kalam,کلم,قلم
kalamdan,کلمدن,قلمدان
kalamkari,کلمکري,کلمکاري
kalbu,کلبو,قلبو
kaleidoskop,کالييدوسکوڤ,کاليدوسکوڤ
berkali-kali,برکالي٢,برکالي-کالي
bersekali,برسکلي,برسکالي
sekali-kali,سکالي٢,سکالي-کالي
sekali-sekala,سکالي٢,سکالي-سکالا
kalikausar,کليکاور,کليکاوسر
kaliki,کليقي,کاليکي
kalimah,کلمة,کلمه
mengalimantang,مڠليمانتڠ,مڠليمنتڠ
kalimatusyahadat,کلميةمةالشهدة,کلمةالشهادة
kalimayah,کلماية,کليمايه
kalkalah,کلکله,قلقله
kalorimetri,کالوريميتري,کلوريميتري
kalut-kibut,کالوت٢,کالوت-کيبوت
kamal,کمل,کمال
kamar,کمر,کامر
kamar,کمر,قمر
kamarban,کمربن,کامربن
kamariah,کمرية,قمرية
kamat,کمت,قمة
kambai,کامباي,کمباي
mengamban,مڠمبن,مڠامبن
mengambang,مڠمبڠ,مڠامبڠ
kambas,کامبس,کمبس
kambau,کامباو,کمباو
kambi,کامبي,کمبي
kambih,کامبيه,کمبيه
kambing,کامبيڠ,کمبيڠ
kambuh,کامبوه,کمبوه
kambus,کامبوس,کمبوس
dikambus,دکامبوس,دکمبوس
terkambus,ترکامبوس,ترکمبوس
kamceng,کامچيڠ,کمچيڠ
kamis,کاميس,قميص
kamisa,کميسا,قميص
kampah,کامڤه,کمڤه
kampai,کامڤاي,کمڤاي
berkampai,برکامڤاي,برکمڤاي
kampak,کامڤق,کمڤق
kampang,کامڤڠ,کمڤڠ
kampanye,کامڤاڽ,کمڤڽى
mengampas,مڠمڤس,مڠامڤس
kampemen,کمڤمن,کمڤمين
kamper,کامڤر,کمڤر
kampil,کامڤيل,کمڤيل
kampilan,کامڤيلن,کمڤيلن
berkampit-kampit,برکمڤيت-کامڤيت,برکامڤيت-کامڤيت
sekampit,سکمڤيت,سکامڤيت
kampori,کامڤوري,کمڤوري
kampret,کامڤريت,کمڤريت
mengampuhkan,مڠمڤوهکن,مڠامڤوهکن
kampus,کامڤوس,کمڤوس
berkampus,برکامڤوس,برکمڤوس
perkampusan,ڤرکامڤوسن,ڤرکمڤوسن
kamsiah,کمسية,کمسياه
kamus,کاموس,قاموس
dikamuskan,دکاموسکن,دقاموسکن
pekamus,ڤکاموس,ڤقاموس
kanaah,کناعه,قناعه
kanaat,کناعة,قناعة
kekanak-kanakan,ککانق-کانقن,ککنق-کانقن
kanbus,کانبوس,کنبوس
kancah,کانچه,کنچه
terkancah,ترکانچه,ترکنچه
kancap,کانچڤ,کنچڤ
kancih,کانچيه,کنچيه
kancil,کانچيل,کنچيل
kandar,کاندر,کندر
dikandarkan,دکاندرکن,دکندرکن
kandaran,کاندرن,کندرن
terkandar,ترکاندر,ترکندر
kandas,کاندس,کندس
terkandas,ترکاندس,ترکندس
kandela,کندلا,کنديلا
kandi,کندي,کاندي
